Post ID,URL to tweet,creation_date,likes,caption,retweet_count,comment_count,view_count,poster_handle,poster_display_name,poster_follower_count,poster_frequency,total_posts,hashtags,image_filename,comment_file
1837962207612854413,https://x.com/prsGarfieldsHat/status/1837962207612854413/photo/1,Sun Sep 22 21:08:32 +0000 2024,1,@jjnjpan Great MEME!! But let's also remember we support #TrumpVanceKennedy2024 bc we cannot afford more inflation.    #KamalaHarris is trying to fight housing affordability with  . . . more inflation! https://t.co/3D8lPHK7Ua,0,0,23,prsGarfieldsHat,President Garfield fears the return of #Inflation,3886,6.473338802296965,15782,"#TrumpVanceKennedy2024, #KamalaHarris",Twitter_Scrape/twitter_media/prsGarfieldsHat_2024-09-22-21-08-32_0.jpg,Twitter_Scrape/comments\prsGarfieldsHat--254_comments.csv
1865411522865881456,https://x.com/clark_kent10935/status/1865411522865881456/photo/1,Sat Dec 07 15:02:19 +0000 2024,3,@tumaro17 Let's connect X FRIENDS @clark_kent10935 IFBAP https://t.co/ix4JoPn1iv,0,0,36,clark_kent10935,Clark Kent,16110,47.17058823529412,16038,,Twitter_Scrape/twitter_media/clark_kent10935_2024-12-07-15-02-19_0.jpg,Twitter_Scrape/comments\clark_kent10935--344_comments.csv
1835753725190897696,https://x.com/Rowdy_House/status/1835753725190897696,Mon Sep 16 18:52:49 +0000 2024,0,@Nichole05507742 Mew News: A militia formed in Springfield and has just left Ohio to go help protect #Trump. #MAGA #TrumpAssassinationAttempt2 #TrumpAssassinationAttempt #FightFightFight https://t.co/mW1PnXZxXL,0,0,65,Rowdy_House,This is Rowdy House (IFBAP-ASAP),37047,0.4259504862953139,1927,"#Trump., #MAGA, #TrumpAssassinationAttempt2, #TrumpAssassinationAttempt, #FightFightFight",Twitter_Scrape/twitter_media/Rowdy_House_2024-09-16-18-52-49_0.jpg,Twitter_Scrape/comments\Rowdy_House--479_comments.csv
1852305500303691798,https://x.com/Tek_Roo/status/1852305500303691798/photo/1,Fri Nov 01 11:03:40 +0000 2024,1,"@Liz_Cheney He's talking about sending you into this war you and your warmonger buddies want to start, but I'm sure you think you're too privileged for that. https://t.co/F9FOepvzc4",0,0,62,Tek_Roo,Tek Roo 2028 🇺🇸,2399,29.54486422668241,150147,,Twitter_Scrape/twitter_media/Tek_Roo_2024-11-01-11-03-40_0.jpg,Twitter_Scrape/comments\Tek_Roo--733_comments.csv
1868783202850292023,https://x.com/SChimamoto/status/1868783202850292023/photo/1,Mon Dec 16 22:20:10 +0000 2024,4,@lloydallred @JoeyT1010 @Hondamn1010 @bluefishspark @Merica197138 @MLilyjo @marijotrue @MAGA_Meme_Man @Florida_Daddy Thanks Lloyd for the invite 👊🇺🇸🦅 Follow 👉@lloydallred https://t.co/13RZwu2if2,2,0,62,SChimamoto,shelby chimamoto🇺🇸🦅,109909,106.53441682600382,111435,,Twitter_Scrape/twitter_media/SChimamoto_2024-12-16-22-20-10_0.png,Twitter_Scrape/comments\SChimamoto--702_comments.csv
1853240480680853551,https://x.com/MrJOHNWICK2/status/1853240480680853551/photo/1,Mon Nov 04 00:58:56 +0000 2024,261,Time for a FAST FOLLOW TRAIN Let's Repost this post over 100 to get 100 plus FOLLOWERS #MAGA  🇺🇸🇺🇸 LET'S GO #Trump2024 🇺🇸🇺🇸 🇺🇸🇺🇸🇺🇸🇺🇸 #Vote  🇺🇸🇺🇸🇺🇸🇺🇸 https://t.co/E1AqaI5YxL,118,157,5363,MrJOHNWICK2,MARK WICK🇺🇸,59211,31.096494272821936,89589,"#MAGA, #Trump2024, #Vote",Twitter_Scrape/twitter_media/MrJOHNWICK2_2024-11-04-00-58-56_0.jpg,Twitter_Scrape/comments\MrJOHNWICK2--465_comments.csv
1852507866462355828,https://x.com/MrJOHNWICK2/status/1852507866462355828/photo/1,Sat Nov 02 00:27:47 +0000 2024,175,🔴⚪🔵🔴⚪🔵🔴⚪🔵🔴⚪🔵 🔵WANT NEW FOLLOWERS?  🔴 🔴FOLLOW ME &amp; RETWEET🇺🇸⚪ ⚪REPLY WITH IFB 🔴🇺🇸⚪🇺🇸🔵 🔵I FOLLOW BACK ACTIVE 🇺🇸🔴 🔴FOLLOWERS!!🇺🇸🔴🇺🇸⚪🇺🇸⚪ ⚪#MAGA #Trump2024🔴🇺🇸⚪ 🔵#TRUMPTRAIN  🔴🇺🇸⚪🇺🇸🔵 ⚪FIGHT! 🇺🇸FIGHT!🇺🇸 FIGHT! 🔴 🔴⚪🔵🔴⚪🔵🔴⚪🔵🔴⚪🔵 https://t.co/mjqjH7DV06,78,172,4446,MrJOHNWICK2,MARK WICK🇺🇸,59211,31.096494272821936,89589,#Trump2024🔴🇺🇸⚪,Twitter_Scrape/twitter_media/MrJOHNWICK2_2024-11-02-00-27-47_0.jpg,Twitter_Scrape/comments\MrJOHNWICK2--226_comments.csv
1852023379232281021,https://x.com/MrJOHNWICK2/status/1852023379232281021/photo/1,Thu Oct 31 16:22:37 +0000 2024,55,😂😂😂😂😂😂😂😂😂😂😂😂 https://t.co/q2v9xXgPr4,24,12,1084,MrJOHNWICK2,MARK WICK🇺🇸,59211,31.096494272821936,89589,,Twitter_Scrape/twitter_media/MrJOHNWICK2_2024-10-31-16-22-37_0.jpg,Twitter_Scrape/comments\MrJOHNWICK2--765_comments.csv
1854057412594221332,https://x.com/MrJOHNWICK2/status/1854057412594221332/photo/1,Wed Nov 06 07:05:08 +0000 2024,30,Lying Kamala you are Fired https://t.co/yT1onvaL0C,8,4,628,MrJOHNWICK2,MARK WICK🇺🇸,59211,31.096494272821936,89589,,Twitter_Scrape/twitter_media/MrJOHNWICK2_2024-11-06-07-05-08_0.jpg,Twitter_Scrape/comments\MrJOHNWICK2--558_comments.csv
1855125567773065370,https://x.com/MrJOHNWICK2/status/1855125567773065370/photo/1,Sat Nov 09 05:49:36 +0000 2024,38,Lying Kamala will have to sleep with Ronald McDonald 😂😂😂😂 https://t.co/uGsBeZ4iPa,18,9,762,MrJOHNWICK2,MARK WICK🇺🇸,59211,31.096494272821936,89589,,Twitter_Scrape/twitter_media/MrJOHNWICK2_2024-11-09-05-49-36_0.jpg,Twitter_Scrape/comments\MrJOHNWICK2--92_comments.csv
