Post ID,URL to tweet,creation_date,likes,caption,retweet_count,comment_count,view_count,poster_handle,poster_display_name,poster_follower_count,poster_frequency,total_posts,hashtags,image_filename,comment_file,image+caption_target,political_leaning
1850571647658393698,https://x.com/the_war_reporte/status/1850571647658393698/photo/1,Sun Oct 27 16:13:57 +0000 2024,0,@SOFABiscuitEatr @WW3_Monitor https://t.co/AVu7vkUPT3,0,0,24,the_war_reporte,BALD EAGLE AIRFIELD 🇺🇸,455,12.183206106870228,9576,,Twitter_Scrape\Target_Harris\Anti\Images\nazi_commi_harris.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\nazi_commi_harris.csv,anti-harris,R
1850656367264109034,https://x.com/the_war_reporte/status/1850656367264109034/photo/1,Sun Oct 27 21:50:36 +0000 2024,0,@KamalaHQLies @KamalaHQ @AOC https://t.co/iVLajFMlqx,0,0,50,the_war_reporte,BALD EAGLE AIRFIELD 🇺🇸,455,12.183206106870228,9576,,Twitter_Scrape\Target_Harris\Anti\Images\love_commi.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\love_commi.csv,anti-harris,R
1849223660256575873,https://x.com/the_war_reporte/status/1849223660256575873/photo/1,Wed Oct 23 22:57:32 +0000 2024,2,@GuntherEagleman @nicksortor The real kamala https://t.co/FCUXLplHmo,0,0,15,the_war_reporte,BALD EAGLE AIRFIELD 🇺🇸,455,12.183206106870228,9576,,Twitter_Scrape\Target_Harris\Anti\Images\harris_nazi_armband.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\harris_nazi_armband.csv,anti-harris,R
1848513092541419669,https://x.com/the_war_reporte/status/1848513092541419669/photo/1,Mon Oct 21 23:53:59 +0000 2024,0,@TeamKamala https://t.co/8fOjXkp8E3,0,0,9,the_war_reporte,BALD EAGLE AIRFIELD 🇺🇸,455,12.183206106870228,9576,,Twitter_Scrape\Target_Harris\Anti\Images\nazi_harris.jpg,N/A,anti-harris,R
1848513791455359226,https://x.com/the_war_reporte/status/1848513791455359226/photo/1,Mon Oct 21 23:56:46 +0000 2024,0,@akafacehots https://t.co/LTgAUxC8RL,0,0,12,the_war_reporte,BALD EAGLE AIRFIELD 🇺🇸,455,12.183206106870228,9576,,Twitter_Scrape\Target_Harris\Anti\Images\anti_jesus.jpg,N/A,anti-harris,R
1844456355475882360,https://x.com/the_war_reporte/status/1844456355475882360/photo/1,Thu Oct 10 19:13:58 +0000 2024,0,@IlhanMN @KamalaHarris @Tim_Walz Yesss an alcoholic is the best candidate https://t.co/950kYWRbJp,0,0,4,the_war_reporte,BALD EAGLE AIRFIELD 🇺🇸,455,12.183206106870228,9576,,Twitter_Scrape\Target_Harris\Anti\Images\kamala_drink.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\kamala_drink.csv,anti-harris,R
1837953878756602305,https://x.com/the_war_reporte/status/1837953878756602305/photo/1,Sun Sep 22 20:35:26 +0000 2024,0,@thejackhopkins Kamala Harris interview prep #kamalaisanalcoholic #alcoholawareness https://t.co/ivak7iFsGv,0,0,2,the_war_reporte,BALD EAGLE AIRFIELD 🇺🇸,455,12.183206106870228,9576,"#kamalaisanalcoholic, #alcoholawareness",Twitter_Scrape\Target_Harris\Anti\Images\harris_vodka_drink.jpg,Twitter_Scrape\Target_Harris\Anti\Comments\harris_vodka_drink.csv,anti-harris,R
1853644701838319854,https://x.com/NotTinaKotex/status/1853644701838319854/photo/1,Tue Nov 05 03:45:10 +0000 2024,4,"@DrClownPhD And I felt a tinge of shame for doing this.    OK, not really. https://t.co/4u2WPD1joW",0,0,252,NotTinaKotex,Not Tina Kotex,10845,9.710216110019646,9885,,Twitter_Scrape\Target_Harris\Anti\Images\pole.jpg,N/A,anti-harris,R
1850470325873438769,https://x.com/Stephis_world/status/1850470325873438769/photo/1,Sun Oct 27 09:31:20 +0000 2024,6098,Count down has started Patriots! 10. 9. 8. 7. 6. 5. 4. 3. 2. 1. Trump wins https://t.co/BiZDbCaW2v,348,328,93732,Stephis_world,Stephi,55528,14.042535446205171,16837,,Twitter_Scrape\Target_Trump\Pro\Images\girl_bedroom.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\girl_bedroom.csv,pro-trump,R
1851625166364618755,https://x.com/Stephis_world/status/1851625166364618755/photo/1,Wed Oct 30 14:00:15 +0000 2024,2571,The day draws closer Patriots. #Trump4U #Garbage4Trump #TrumpVance2024ToSaveAmerica https://t.co/F0NcYv4CjO,261,126,26514,Stephis_world,Stephi,55528,14.042535446205171,16837,"#Trump4U, #Garbage4Trump, #TrumpVance2024ToSaveAmerica",Twitter_Scrape\Target_Trump\Pro\Images\4_trump.jpg,Twitter_Scrape\Target_Trump\Pro\Comments\4_trump.csv,pro-trump,R
